Player,Pos,G,MP,X3P.,eFG.,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS.,USG.,WS,WS.48,BPM,VORP,TeamTotalPoints,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
Precious Achiuwa,PF,61,737,0,0.544,0.509,73,135,208,29,20,28,43,91,304,14.2,0.55,19.5,1.3,0.085,-4.1,-0.4,7781,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Jaylen Adams,PG,7,18,0,0.125,0,0,3,3,2,0,0,0,1,2,-6.5,0.125,18.6,-0.1,-0.252,-19.8,-0.1,8649,200,300,100,1,4,2,-5,2,3,5,3,-3
Steven Adams,C,58,1605,0,0.614,0.444,213,301,514,111,54,38,78,113,438,15.1,0.596,11.7,4,0.119,-0.3,0.7,8251,200,200,60,3,2,2,-3,4,4,3,5,-3
Bam Adebayo,C,64,2143,0.25,0.571,0.799,142,431,573,346,75,66,169,145,1197,22.7,0.626,23.7,8.8,0.197,4.9,3.7,7781,200,200,60,3,2,2,-3,4,4,3,5,-3
LaMarcus Aldridge,C,26,674,0.388,0.525,0.872,19,99,118,49,11,29,27,47,352,15.7,0.556,22.2,1.1,0.08,-0.3,0.3,7998,200,200,60,3,2,2,-3,4,4,3,5,-3
Ty-Shon Alexander,SG,15,47,0.222,0.333,0.5,2,8,10,6,0,1,3,2,9,4.2,0.349,15,0,-0.048,-6.5,-0.1,8300,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Nickeil Alexander-Walker,SG,46,1007,0.347,0.502,0.727,13,131,144,102,47,22,69,88,508,12.5,0.522,23.2,0.7,0.035,-1.3,0.2,8251,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Grayson Allen,SG,50,1259,0.391,0.547,0.868,19,141,160,108,46,8,48,71,532,12.8,0.586,16.8,2.7,0.101,-0.2,0.6,8157,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Jarrett Allen,C,63,1864,0.316,0.624,0.703,196,435,631,106,32,90,100,96,806,20.1,0.661,16.6,6.4,0.166,1.1,1.4,7476,200,200,60,3,2,2,-3,4,4,3,5,-3
Al-Farouq Aminu,PF,23,434,0.216,0.424,0.818,22,88,110,31,19,9,28,29,102,8.9,0.469,13.6,0.1,0.01,-3.8,-0.2,7488,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Kyle Anderson,PF,69,1887,0.36,0.54,0.783,52,344,396,250,84,57,86,120,854,17.2,0.578,18.5,5.6,0.143,3.3,2.5,8157,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Giannis Antetokounmpo,PF,61,2013,0.303,0.6,0.685,97,574,671,357,72,73,207,168,1717,29.2,0.633,32.5,10.2,0.244,9,5.6,8649,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
