,Player,Pos,G,MP,FG.,X3P.,X2P.,eFG.,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS.,USG.,WS,WS.48,BPM,VORP,PPM
1,Damian Lillard,PG,67,2398,0.451,0.391,0.519,0.554,0.928,32,251,283,505,62,17,203,102,1928,25.6,0.623,31.4,10.4,0.209,6.3,5,28.68421053
2,Russell Westbrook,PG,65,2369,0.439,0.315,0.475,0.474,0.656,109,641,750,763,89,23,312,190,1445,19.5,0.509,30.2,3.7,0.075,3.7,3.4,28.2090974
3,Luka Doncic,PG,66,2262,0.479,0.35,0.567,0.55,0.73,54,473,527,567,64,36,281,152,1830,25.3,0.587,36,7.7,0.163,6.8,5.1,27.93972332
4,Chris Paul,PG,70,2199,0.499,0.395,0.543,0.557,0.934,25,287,312,622,99,19,156,166,1149,21.4,0.599,22.6,9.2,0.201,4.6,3.6,27.0548375
5,Stephen Curry,PG,63,2152,0.482,0.421,0.569,0.605,0.916,29,316,345,363,77,8,213,119,2015,26.3,0.655,34.8,9,0.201,8.7,5.8,26.74418605
6,Coby White,PG,69,2156,0.416,0.359,0.473,0.506,0.901,28,256,284,328,38,15,156,179,1041,12,0.54,22.5,2.4,0.052,-2.4,-0.2,26.4939759
7,Dejounte Murray,PG,67,2139,0.453,0.317,0.488,0.485,0.791,58,415,473,363,101,7,117,135,1051,16.5,0.509,23.4,3.3,0.074,0.8,1.5,26.28557469
8,Trae Young,PG,63,2125,0.438,0.343,0.491,0.499,0.886,38,207,245,594,53,12,261,111,1594,23,0.589,33,7.2,0.163,3.7,3,25.95895431
9,Ja Morant,PG,63,2053,0.449,0.303,0.499,0.487,0.728,59,193,252,465,57,13,203,87,1204,16.7,0.537,27.2,3.2,0.074,-0.4,0.8,25.16856688
10,De'Aaron Fox,PG,58,2036,0.477,0.322,0.539,0.523,0.719,33,170,203,417,87,27,174,170,1461,20.7,0.565,31,4.2,0.098,1.8,2,24.86262059
11,Malcolm Brogdon,PG,56,1930,0.453,0.388,0.493,0.527,0.864,58,236,294,329,49,15,115,110,1186,17.9,0.561,25.9,4.2,0.105,2.1,2,23.94328518
