Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Offensive Points,Defensive Points,Offensive and Defensive Points,Positional Adjustment,Points Per Win,PAR
Ashton Hagans,PG,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-3,0,-3,0.001157407,3,-2.57
Russell Westbrook,PG,65,2369,544,1238,0.439,86,273,0.315,458,965,0.475,0.474,271,413,0.656,109,641,750,763,89,23,312,190,1445,4355.861,1301,5656.861,0.685474537,46.91726467,80.08
Chris Paul,PG,70,2199,439,879,0.499,102,258,0.395,337,621,0.543,0.557,169,181,0.934,25,287,312,622,99,19,156,166,1149,3726.101,583,4309.101,0.636284722,40.6207367,64.93
Dejounte Murray,PG,67,2139,441,974,0.453,63,199,0.317,378,775,0.488,0.485,106,134,0.791,58,415,473,363,101,7,117,135,1051,2902.294,928,3830.294,0.618923611,38.3772791,59.20
Damian Lillard,PG,67,2398,602,1334,0.451,275,704,0.391,327,630,0.519,0.554,449,484,0.928,32,251,283,505,62,17,203,102,1928,4799.065,533,5332.065,0.693865741,60.8882402,58.19
T.J. McConnell,PG,69,1796,274,490,0.559,15,48,0.313,259,442,0.586,0.574,33,48,0.688,55,201,256,456,128,23,135,113,596,2214.151,638,2852.151,0.519675926,26.89309577,52.54
Luka Dončić,PG,66,2262,647,1351,0.479,192,548,0.35,455,803,0.567,0.55,344,471,0.73,54,473,527,567,64,36,281,152,1830,4576.34,924,5500.34,0.654513889,61.24933687,56.21
Ricky Rubio,PG,68,1772,193,498,0.388,66,214,0.308,127,284,0.447,0.454,130,150,0.867,28,195,223,433,98,4,111,139,582,2162.433,438,2600.433,0.512731481,26.64785553,47.46
Ben Simmons,PG,58,1877,325,583,0.557,3,10,0.3,322,573,0.562,0.56,176,287,0.613,93,324,417,401,93,35,173,171,829,2438.859,713,3151.859,0.543113426,34.79968034,46.62
Coby White,PG,69,2156,375,902,0.416,163,454,0.359,212,448,0.473,0.506,128,142,0.901,28,256,284,328,38,15,156,179,1041,2630.792,311,2941.792,0.623842593,37.76437848,46.03
Trae Young,PG,63,2125,487,1112,0.438,136,397,0.343,351,715,0.491,0.499,484,546,0.886,38,207,245,594,53,12,261,111,1594,4229.685,401,4630.685,0.614872685,57.00847059,47.37
Ja Morant,PG,63,2053,430,957,0.449,73,241,0.303,357,716,0.499,0.487,271,372,0.728,59,193,252,465,57,13,203,87,1204,3257.067,455,3712.067,0.594039352,45.22503653,46.19
Jrue Holiday,PG,59,1907,414,823,0.503,111,283,0.392,303,540,0.561,0.57,107,136,0.787,73,195,268,357,96,37,127,98,1046,2859.677,592,3451.677,0.551793981,42.49239643,42.25
Stephen Curry,PG,63,2152,658,1365,0.482,337,801,0.421,321,564,0.569,0.605,362,395,0.916,29,316,345,363,77,8,213,119,2015,4514.221,662,5176.221,0.622685185,70.41635688,43.20
De'Aaron Fox,PG,58,2036,529,1110,0.477,103,320,0.322,426,790,0.539,0.523,300,417,0.719,33,170,203,417,87,27,174,170,1461,3688.169,321,4009.169,0.58912037,54.66601179,40.64
Malcolm Brogdon,PG,56,1930,444,980,0.453,145,374,0.388,299,606,0.493,0.527,153,177,0.864,58,236,294,329,49,15,115,110,1186,3076.81,472,3548.81,0.558449074,47.24455959,39.38
Lonzo Ball,PG,55,1747,290,700,0.414,172,455,0.378,118,245,0.482,0.537,50,64,0.781,33,230,263,316,82,31,123,103,802,2220.551,564,2784.551,0.505497685,36.05323412,36.47
Tyrese Haliburton,PG,58,1746,292,619,0.472,121,296,0.409,171,323,0.529,0.569,48,56,0.857,39,134,173,309,77,28,92,83,753,2200.936,400,2600.936,0.505208333,34.05154639,36.02
Kyrie Irving,PG,54,1886,549,1086,0.506,152,378,0.402,397,708,0.561,0.576,201,218,0.922,52,205,257,324,76,37,130,140,1451,3541.124,447,3988.124,0.545717593,58.39342524,34.70
Théo Maledon,PG,65,1778,226,614,0.368,105,313,0.335,121,301,0.402,0.454,101,135,0.748,25,186,211,227,56,11,141,126,658,1603.157,324,1927.157,0.514467593,29.64566929,30.87
James Harden,PG-SG,44,1609,342,734,0.466,121,334,0.362,221,400,0.553,0.548,278,323,0.861,35,313,348,475,53,33,177,99,1083,3099.765,655,3754.765,0.46556713,51.46239901,31.40
Darius Garland,PG,54,1790,362,802,0.451,105,266,0.395,257,536,0.479,0.517,112,132,0.848,23,106,129,329,66,6,164,110,941,2404.763,219,2623.763,0.517939815,40.85027933,30.70
Devonte' Graham,PG,55,1659,252,669,0.377,179,477,0.375,73,192,0.38,0.51,133,158,0.842,22,126,148,295,48,6,84,77,816,2291.671,270,2561.671,0.480034722,38.41410488,29.44
Jalen Brunson,PG,68,1697,328,627,0.523,81,200,0.405,247,427,0.578,0.588,120,151,0.795,27,204,231,239,35,1,80,109,857,2222.776,323,2545.776,0.491030093,39.36063642,29.19
Marcus Smart,PG,48,1581,203,510,0.398,93,282,0.33,110,228,0.482,0.489,128,162,0.79,36,131,167,273,72,23,96,126,627,1825.338,285,2110.338,0.457465278,31.5540797,28.03
