Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Thanasis Antetokounmpo,SF,57,551,67,137,0.489,7,29,0.241,60,108,0.556,0.515,25,49,0.51,54,70,124,46,22,10,43,74,166
OG Anunoby,SF,43,1433,249,519,0.48,104,261,0.398,145,258,0.562,0.58,80,102,0.784,54,183,237,94,66,32,75,114,682
Trevor Ariza,SF,30,841,99,241,0.411,50,143,0.35,49,98,0.5,0.515,34,44,0.773,27,117,144,55,31,18,21,55,282
Deni Avdija,SF,54,1257,130,312,0.417,53,168,0.315,77,144,0.535,0.502,29,45,0.644,22,240,262,63,32,15,33,140,342
Will Barton,SF,56,1736,259,608,0.426,98,257,0.381,161,351,0.459,0.507,95,121,0.785,39,187,226,181,50,23,96,95,711
Keita Bates-Diop,SF,30,245,30,67,0.448,5,17,0.294,25,50,0.5,0.485,14,21,0.667,9,40,49,12,11,5,7,11,79
Nicolas Batum,SF,67,1835,191,412,0.464,110,272,0.404,81,140,0.579,0.597,48,58,0.828,50,266,316,148,69,37,53,102,540
Kent Bazemore,SF,67,1333,176,392,0.449,75,184,0.408,101,208,0.486,0.545,54,78,0.692,26,203,229,108,69,33,82,158,481
DeAndre' Bembry,SF,51,972,117,228,0.513,14,53,0.264,103,175,0.589,0.544,45,66,0.682,33,113,146,107,53,18,71,87,293
Saddiq Bey,SF,70,1909,279,691,0.404,175,460,0.38,104,231,0.45,0.53,124,147,0.844,43,275,318,95,52,14,60,110,857
Tyler Bey,SF,18,71,7,22,0.318,1,4,0.25,6,18,0.333,0.341,3,5,0.6,8,11,19,3,0,1,3,6,18
Keljin Blevins,SF,17,75,5,20,0.25,2,8,0.25,3,12,0.25,0.3,0,0,,3,7,10,4,2,0,5,8,12
Bojan Bogdanović,SF,72,2216,406,925,0.439,180,461,0.39,226,464,0.487,0.536,233,265,0.879,40,241,281,136,45,4,128,115,1225
Isaac Bonga,SF,40,432,30,81,0.37,13,47,0.277,17,34,0.5,0.451,5,8,0.625,18,48,66,23,11,9,22,63,78
Brian Bowen,SF,6,15,1,4,0.25,0,1,0,1,3,0.333,0.25,1,1,1,0,3,3,0,0,0,0,1,3
